Emp_ID,Full_Name,Gender,DOB,Age,Nationality,Ethnicity,Job_Title,Department,Job_Level,Hire_Date,Status,Emp_Type,Tenure (Years),Salary_Band,Salary,Job_Rating,Location,Days_Absent,Sick_Days,Annual_Leave
118,Gary Edwards,M,20/7/2001,19,Chinese,Asian,Marketing Manager,Marketing,Manager,20/7/2019,Resigned,Other,1,D,"$60,000.00",5,France,2,2,0
56,Eugene Young,M,17/11/2000,20,German,White,IT Analyst,IT,Non-Manager,17/11/2019,Resigned,Other,1,C,"$50,000.00",1,USA,4,4,0
108,Billy Green,M,11/10/2000,20,French,White,Payroll,Finance,Non-Manager,11/10/2019,Resigned,Other,1,D,"$60,000.00",2,Canada,15,4,11
209,Benjamin Kelly,M,23/7/2000,20,Japanese,Asian,Security Officer,IT,Non-Manager,23/7/2019,Retired,Other,1,C,"$50,000.00",1,USA,4,4,0
237,Charles Martinez,M,17/9/2000,20,Brazilian,Hispanic/Latin,HR Assistant,HR,Non-Manager,17/9/2019,Active,Part Time,1,A,"$30,000.00",3,South African,2,2,0
432,Doris Henderson,F,2/12/2000,20,Chinese,Asian,Sales Manager,Sales,Manager,2/12/2019,Retired,Other,1,D,"$60,000.00",1,Germany,14,4,10
640,Alejandro Reid,M,20/10/2000,20,Indian,Asian,Security Officer,IT,Non-Manager,20/10/2019,Active,Part Time,1,C,"$50,000.00",2,France,0,0,0
744,Abel Cole,M,15/8/2000,20,South African,White,Sales Assistant,Sales,Non-Manager,15/8/2019,Active,Full Time,1,C,"$50,000.00",3,Germany,0,0,0
745,Stuart Dixon,M,14/6/2000,20,Portugese,White,IT Analyst,IT,Non-Manager,14/6/2019,Active,Full Time,1,D,"$60,000.00",1,Australia,12,7,5
770,Wilbert Paul,M,2/6/2000,20,German,White,HR Administrator,HR,Non-Manager,2/6/2019,Active,Full Time,1,D,"$60,000.00",2,USA,13,8,5
822,Carla Arnold,F,17/6/2000,20,Irish,White,Administrator,Admin,Non-Manager,17/6/2019,Active,Full Time,1,A,"$30,000.00",3,UK,9,4,5
873,Kristy Drake,F,25/12/2000,20,Iranian,Persian,Sales Clerk,Sales,Non-Manager,25/12/2019,Active,Full Time,1,B,"$40,000.00",3,Canada,8,8,0
915,Kelly Foster,F,5/9/2000,20,Japanese,Asian,Marketing Assistant,Marketing,Manager,5/9/2019,Active,Full Time,1,D,"$60,000.00",3,UK,0,0,0
917,Tommie Fields,M,14/9/2000,20,Japanese,Asian,Administrator,Admin,Non-Manager,14/9/2019,Active,Full Time,1,C,"$50,000.00",2,Australia,6,6,0
928,Alfredo Turner,M,3/7/2000,20,American,White,Marketing Manager,Marketing,Manager,3/7/2019,Active,Full Time,1,B,"$40,000.00",4,Canada,13,8,5
1021,Fannie Peterson,F,17/6/2000,20,German,White,Credit Controller,Finance,Non-Manager,17/6/2019,Active,Full Time,1,B,"$40,000.00",3,Canada,1,1,0
1036,Brandi Vasquez,F,8/8/2000,20,Chinese,Asian,Credit Controller,Finance,Non-Manager,8/8/2019,Active,Full Time,1,C,"$50,000.00",2,Australia,4,4,0
1076,Regina Byrd,F,9/11/2000,20,American,White,HR Assistant,HR,Non-Manager,9/11/2019,Active,Full Time,1,B,"$40,000.00",3,South African,1,1,0
1091,Geraldine Colon,F,28/7/2000,20,German,White,Sales Assistant,Sales,Non-Manager,28/7/2019,Active,Full Time,1,C,"$50,000.00",4,France,12,7,5
1103,Rosie Newton,F,20/10/2000,20,Indian,Asian,IT Analyst,IT,Non-Manager,20/10/2019,Active,Full Time,1,A,"$30,000.00",3,Australia,12,7,5
1238,Lynn Elliott,F,12/11/2000,20,British,Black,PA ,Admin,Non-Manager,12/11/2019,Retired,Other,1,A,"$30,000.00",3,UK,7,7,0
1291,Melody Yates,F,16/11/2000,20,German,Black,Administrator,Admin,Non-Manager,16/11/2019,Active,Full Time,1,A,"$30,000.00",1,Germany,9,4,5
18,Emily Taylor,F,1/4/2000,21,Chinese,Asian,HR Manager,HR,Manager,1/4/2020,Retired,Other,1,B,"$40,000.00",5,UK,10,9,1
184,Kenneth Cox,M,31/1/2000,21,Nigerian,Black,Administrator,Admin,Non-Manager,31/1/2020,Active,Part Time,1,C,"$50,000.00",3,UK,14,4,10
204,Johnny Wilson,M,23/1/2000,21,Brazilian,Hispanic/Latin,IT Analyst,IT,Non-Manager,23/1/2020,Retired,Other,1,B,"$40,000.00",3,Canada,2,2,0
236,Keith Williams,M,1/7/1999,21,German,White,Security Officer,IT,Non-Manager,1/7/2019,Active,Part Time,1,B,"$40,000.00",3,France,9,4,5
246,Brenda Phillips,F,5/1/2000,21,Canadian,White,Administrator,Admin,Non-Manager,5/1/2020,Active,Part Time,1,D,"$60,000.00",2,Germany,1,1,0
282,Matthew Roberts,M,23/3/2000,21,Iranian,Persian,Administrator,Admin,Non-Manager,23/3/2020,Resigned,Other,1,B,"$40,000.00",3,USA,1,1,0
312,Bruce Flores,M,17/3/2000,21,Indian,Asian,Procurement and Planning,Planning,Non-Manager,17/3/2020,Active,Part Time,1,C,"$50,000.00",1,South African,10,4,6
349,Jerry Morgan,M,12/2/2000,21,South African,White,PA ,Admin,Non-Manager,12/2/2020,Active,Other,1,D,"$60,000.00",1,Germany,15,4,11
661,Janis Ray,F,14/4/2000,21,American,White,HR Assistant,HR,Non-Manager,14/4/2020,Active,Part Time,1,D,"$60,000.00",3,Canada,1,1,0
740,Donald Massey,M,11/10/1999,21,German,White,HR Assistant,HR,Non-Manager,11/10/2019,Retired,Other,1,A,"$30,000.00",2,UK,3,3,0
747,Vincent Francis,M,13/7/1999,21,Iranian,Persian,Payroll,Finance,Non-Manager,13/7/2019,Active,Full Time,1,B,"$40,000.00",2,UK,6,6,0
779,Travis Saunders,M,8/12/1999,21,Irish,White,Procurement and Planning,Planning,Non-Manager,8/12/2019,Retired,Other,1,A,"$30,000.00",3,UK,0,0,0
840,Alexandra Richardson,F,6/12/1999,21,Nigerian,Black,HR Administrator,HR,Non-Manager,6/12/2019,Active,Full Time,1,B,"$40,000.00",4,UK,11,6,5
912,Jorge Peters,M,8/8/1999,21,Japanese,Asian,Recruitment Manager,HR,Manager,8/8/2019,Active,Full Time,1,C,"$50,000.00",2,Germany,1,1,0
936,Javier Hawkins,M,1/4/2000,21,German,White,Credit Controller,Finance,Non-Manager,1/4/2020,Active,Full Time,1,C,"$50,000.00",3,UK,7,7,0
942,Raymond Gonzales,M,20/10/1999,21,German,White,IT Analyst,IT,Non-Manager,20/10/2019,Active,Full Time,1,D,"$60,000.00",1,Germany,6,6,0
995,Theodore Jones,M,10/2/2000,21,French,White,Sales Clerk,Sales,Non-Manager,10/2/2020,Active,Full Time,1,A,"$30,000.00",1,South African,14,4,10
1114,Erica Obrien,F,31/8/1999,21,Mexican,Hispanic/Latin,Payroll,Finance,Non-Manager,31/8/2019,Active,Full Time,1,A,"$30,000.00",3,South African,12,7,5
1125,Margarita Delgado,F,25/1/2000,21,Irish,White,Sales Manager,Sales,Manager,25/1/2020,Retired,Other,1,B,"$40,000.00",1,Germany,10,4,6
1128,Silvia Garner,F,7/4/2000,21,Irish,White,PA ,Admin,Non-Manager,7/4/2020,Active,Full Time,1,B,"$40,000.00",3,USA,2,2,0
1161,Patsy Fowler,F,16/9/1999,21,Nigerian,Black,Administrator,Admin,Non-Manager,16/9/2019,Active,Full Time,1,A,"$30,000.00",3,South African,10,4,6
1170,Helen Figueroa,F,11/1/2000,21,Portugese,Black,Sales Manager,Sales,Manager,11/1/2020,Active,Full Time,1,B,"$40,000.00",3,UK,12,7,5
1176,Grace Kim,F,6/8/1999,21,Cuban,Hispanic/Latin,HR Manager,HR,Manager,6/8/2019,Active,Full Time,1,A,"$30,000.00",3,South African,4,4,0
1230,Michele Peterson,F,21/8/1999,21,American,Black,Marketing Manager,Marketing,Manager,21/8/2019,Active,Part Time,1,C,"$50,000.00",1,South African,5,5,0
1265,Felicia Hunter,F,25/2/2000,21,Mexican,Hispanic/Latin,Brand Manager,Marketing,Manager,25/2/2020,Retired,Other,1,B,"$40,000.00",3,UK,1,1,0
1283,Lorene Casey,F,3/7/1999,21,German,Black,Credit Controller,Finance,Non-Manager,3/7/2019,Active,Part Time,1,D,"$60,000.00",4,UK,12,7,5
1398,Alex Madrid,M,16/4/2000,21,Canadian,Black,Sales Clerk,Sales,Non-Manager,16/4/2020,Retired,Other,1,A,"$30,000.00",3,Australia,7,7,0
1510,Karma Marcus,M,2/6/1999,21,American,Black,Recruitment Manager,HR,Manager,2/6/2019,Retired,Other,1,A,"$30,000.00",2,Canada,12,7,5
